1,alta,93,2018-04-05
2,snowbird,93,2018-04-05
3,brighton,74,2018-04-05
4,solitude,74,2018-04-05
5,park city,41,2018-04-05
6,deer valley,54,2018-04-05
7,snowbasin,56,2018-04-05
8,powder mountain,52,2018-04-05
9,beaver mountain,67,2018-04-05
10,cherry peak,26,2018-04-05
11,brian head,41,2018-04-05
12,eagle point,19,2018-04-05
13,sundance,20,2018-04-05
14,nordic valley,0,2018-04-05
