alta,0,2018-03-03 14:23
snowbird,0,2018-03-03 14:23
brighton,0,2018-03-03 14:23
solitude,0,2018-03-03 14:23
park city,0,2018-03-03 14:23
deer valley,0,2018-03-03 14:23
snowbasin,1,2018-03-03 14:23
powder mountain,1,2018-03-03 14:23
beaver mountain,6,2018-03-03 14:23
cherry peak,9,2018-03-03 14:23
brian head,0,2018-03-03 14:23
eagle point,0,2018-03-03 14:23
sundance,0,2018-03-03 14:23
nordic valley,1,2018-03-03 14:23
